id;sequence;latin;stewart;paris;verona;al;variants;modern_19c;distance;unit;notes;uri;names_pl
221;221;mido;Midus;;;;Mœdos;;7;mile;;http://pleiades.stoa.org/places/511326;Mygdum/‘Midum’|Mygdum/‘Midum’, Taşköprü?
157;157;oromago;Oromagus;;;;Horreum Margi;Tjuprija?;8;mile;;http://pleiades.stoa.org/places/207173;Horreum Margi|Horreum Margi, Ćuprija
282;282;gabala;Gabala;;Gavala;;;Jebeleh;14;mile;;http://pleiades.stoa.org/places/668250;Gabala|Gabala, Jableh
18;18;elusione;Elusio;;Eleusione;;;;9;mile;;http://pleiades.stoa.org/places/246381;Elusio|Elusio, Saint-Pierre-d'Alzonne, Montferrand
222;222;chogeae;Chogea;;Chogia;;;;6;mile;;http://pleiades.stoa.org/places/511210;‘Chogeae’|‘Chogeae’, Medetli?
223;223;thateso;Thatesus;;;;;;10;mile;;http://pleiades.stoa.org/places/511437;‘Thateso’|‘Thateso’, Dikenli Boğaz?
283;283;balaneas;Balaneas;;;;;Banias;13;mile;;http://pleiades.stoa.org/places/668206;Balanea/Leukas|Balanea/Leukas, Baniyas
19;19;sostomago;Sostomagus;;;;;Castelnaudary?;9;mile;;http://pleiades.stoa.org/places/246660;Sostomagus|Sostomagus, Castelnaudary|Castelnaudary
158;158;sarmatorum;Sarmatæ;;;;;Paratjin;12;mile;;http://pleiades.stoa.org/places/207424;Sarmates|Sarmates, Gornje Vidovo?
20;20;hebromago;Hebromagus;;Ebromago;;;Bram;10;mile;;http://pleiades.stoa.org/places/246413;Hebromagus/Eburomagus|Hebromagus/Eburomagus, Bram|Bram
159;159;caminitas;Cametæ;;;;;;11;mile;;http://pleiades.stoa.org/places/207006;‘Cametas’|‘Cametas’, Ražanj?
225;225;protunica;Protoniaca;Protunica;;;;;11;mile;;http://pleiades.stoa.org/places/511431;Tattaios|Tattaios, Arıcaklar
21;21;cedros;Cædri;;;;;;6;mile;;http://pleiades.stoa.org/places/246320;Cedros|Cedros, Caux-et-Sauzens
284;284;maraccas;Maraccæ;;;;;;10;mile;;http://pleiades.stoa.org/places/668305;Maraccas|Maraccas, Khrab Maraqiye
160;160;ipompeis;Ipompei;;;;Pompeii;;9;mile;;http://pleiades.stoa.org/places/207363;Praesidium Pompei|Praesidium Pompei, Rutevac, Aleksinac
285;285;antaradus;Antaradus;;;;;Tartús;16;mile;;http://pleiades.stoa.org/places/668190;Antarados/Constantia|Antarados/Constantia, Tartous
161;161;rampiana;Rappiana;;Rampiana;;;Alexinatz;12;mile;;http://pleiades.stoa.org/places/207156;Gramrianae|Gramrianae, Draževac, Aleksinac
